input,expected_output,metadata
"{""message"":""一级模块顺序需要按 Pre-auth 生命周期组织；Pre-auth State Machine & Display 放在 Void & Release 后，API Boundary & Validation 放最后。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""按业务生命周期重排模块，保留用户指定的相对顺序。"",""mustInclude"":[""先识别完整一级模块列表"",""按创建、授权、结算、释放等生命周期排序"",""遵守两个明确的相对位置约束"",""回查模块路径与排序""],""mustNot"":[""按字母或编号排序"",""更改模块名称和用例内容"",""把 API Boundary 放到主流程中间""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""lifecycle_model"",""module_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""ordered_module_map"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-011"",""workflow"":""module_reorder"",""difficulty"":""medium"",""tags"":[""lifecycle"",""ordering"",""pre-auth""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""调整本批用例优先级：P0 约占十分之一，且每个模块内 P0 放在 P1 前。不要为了凑比例把普通场景升成 P0。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""基于业务阻断风险校准优先级分布和展示顺序。"",""mustInclude"":[""先统计当前 P0/P1/P2 分布"",""P0 只保留核心阻断路径"",""目标比例按约数处理并解释舍入"",""模块内按优先级排序并回查""],""mustNot"":[""机械地把恰好 10% 标成 P0"",""仅重排但不核对优先级合理性"",""修改测试覆盖内容""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""priority_analysis"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""priority_distribution"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-012"",""workflow"":""priority_calibration"",""difficulty"":""medium"",""tags"":[""p0"",""risk"",""ordering""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260810-1710_继续之前之前写的package-retail支持split-payment的ca.md"",""source_sha256"":""16edb7956dca9e9f162723c9ddf0708cdd294aba65220cf8b56a3f48a3d6d5c4"",""dataset_version"":""1.0""}"
"{""message"":""Split Payment 需要补充本次支付金额小于、等于、大于 hold 金额的不同 case。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""为 hold 与本次支付金额的三段边界补齐互斥用例。"",""mustInclude"":[""分别覆盖小于、等于、大于"",""每条写清结算、hold 使用和余额释放/补收的可观察结果"",""复用同一基准数据以便比较"",""避免与已有等价用例重复""],""mustNot"":[""把三种边界合成含糊的一条"",""使用‘功能正常’作为预期"",""把 payment amount 写成充值金额""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""boundary_analysis"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""three_boundary_cases"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-013"",""workflow"":""case_gap_fill"",""difficulty"":""medium"",""tags"":[""boundary"",""hold"",""split-payment""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""不要自创 linkage、pending 等词。模块名和步骤要使用产品或接口已有术语；不确定的状态先标待确认。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""把自创术语替换为证据中已有的产品或接口术语。"",""mustInclude"":[""在设计、PRD、接口或现有产品中查找正式叫法"",""无法确认时保留待确认而非猜测"",""全局扫描同一目标范围"",""只改术语不改变业务含义""],""mustNot"":[""自行发明近义词"",""把未知状态强行映射为 pending"",""静默改写产品文案""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""source_term_lookup"",""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read"",""figma_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""term_mapping"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-014"",""workflow"":""terminology_normalization"",""difficulty"":""medium"",""tags"":[""business-language"",""unknowns"",""no-hallucination""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""Payment History 用例太多。按 history 列表展示与单条记录详情展示拆成两个子模块，并补充 Client Profile 进入 Transaction details 的入口验证。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""按用户操作层级重组 Payment History，并补入口覆盖。"",""mustInclude"":[""列表模块覆盖汇总、排序和记录可见性"",""详情模块覆盖字段、金额和状态"",""补充从 Client Profile 到 Transaction details 的导航入口"",""移动既有用例时保持 ID""],""mustNot"":[""按支付方式再次碎片化为大量单用例模块"",""把入口验证写成泛泛的页面可打开"",""创建重复用例""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""structure_analysis"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""figma_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""module_move_map"",""entry_case"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-015"",""workflow"":""case_tree_refactor"",""difficulty"":""medium"",""tags"":[""payment-history"",""list-detail"",""navigation""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""给 Billing Address App 用例补充系统兼容性 case。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""针对 App 实际支持范围补充有代表性的兼容性用例。"",""mustInclude"":[""确认支持的 iOS/Android 最低版本和设备范围"",""覆盖不同屏幕尺寸与系统字体/显示设置"",""覆盖弱网、恢复和 App 前后台切换"",""只增加与 Billing Address 交互相关的兼容性风险""],""mustNot"":[""穷举所有设备型号"",""在未确认支持矩阵时编造版本号"",""把 Web 浏览器兼容性混入 App 用例""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":{""required"":false,""maxQuestions"":1,""reason"":""若现有资料没有支持版本矩阵，只需提出一个聚焦问题或把版本标为待确认。""},""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""compatibility_analysis"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""compatibility_cases"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-016"",""workflow"":""case_gap_fill"",""difficulty"":""medium"",""tags"":[""mobile"",""compatibility"",""weak-network""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""Bulk Payment 当前不支持 Package 订单和 No show 订单，更新相关 case。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""把两个不支持的订单类型改为明确的负向覆盖。"",""mustInclude"":[""移除或改写暗示 Package/No show 可成功批量支付的旧预期"",""分别覆盖两个订单类型的不可选、拦截或错误提示"",""验证普通支持订单不受影响"",""记录哪些旧用例失效""],""mustNot"":[""把不支持场景直接删掉而失去负向覆盖"",""自行推断具体提示文案"",""修改无关 Payment Flow""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""invalidated_case_map"",""negative_cases"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-017"",""workflow"":""case_scope_correction"",""difficulty"":""medium"",""tags"":[""negative-case"",""bulk-payment"",""unsupported""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1626_继续用-MCP-改.md"",""source_sha256"":""aede5459536e872e711d5b3f0aebb9e55d0f76ac3a71172403d9701e1bba423a"",""dataset_version"":""1.0""}"
"{""message"":""基于当前需求信息，Adyen 和 Stripe 都支持 BT Reader。两边都补充连接、断链、重连、多 Reader、支付失败等覆盖。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""在两个 provider 分支内对称补充 BT Reader 生命周期与失败恢复用例。"",""mustInclude"":[""Adyen 与 Stripe 两边都有独立覆盖"",""连接、断链、重连、多个 Reader 选择和支付失败"",""弱网/蓝牙关闭/Reader 被占用等适用边界"",""provider 差异不能未经证据强行统一""],""mustNot"":[""只放在一个 provider 下"",""建立脱离 provider 的第三个孤立 BT Reader 分支"",""编造指示灯或 SDK 错误码""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""coverage_matrix"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read"",""qa_experience_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""provider_coverage_matrix"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-018"",""workflow"":""case_gap_fill"",""difficulty"":""hard"",""tags"":[""bt-reader"",""adyen"",""stripe"",""recovery""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1626_继续用-MCP-改.md"",""source_sha256"":""aede5459536e872e711d5b3f0aebb9e55d0f76ac3a71172403d9701e1bba423a"",""dataset_version"":""1.0"",""notes"":""这是历史时点规则；后续记录 qasey-gw-019 明确覆盖它。""}"
"{""message"":""更正：当前事实是 Adyen 没有 BT Reader，不需要写 Adyen BT Reader case。"",""prior_context"":[{""role"":""user"",""content"":""较早的任务曾要求 Adyen 与 Stripe 都写 BT Reader 用例。""}]}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""用较新的明确事实覆盖旧记忆，移除 Adyen 分支中的错误 BT Reader 覆盖。"",""mustInclude"":[""明确当前消息覆盖较早规则"",""定位 Adyen BT Reader 相关用例并标记失效或移出"",""保留 Stripe BT Reader 覆盖"",""说明冲突来源和采用当前事实的原因""],""mustNot"":[""因历史记忆坚持两边都支持"",""删除 Stripe 用例"",""执行 MeterSphere 删除操作""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""conflict_resolution"",""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""superseded_fact"",""changed_case_ids"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-019"",""workflow"":""fact_correction"",""difficulty"":""hard"",""tags"":[""memory-conflict"",""latest-wins"",""bt-reader"",""adyen""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260810-1712_继续之前未完成的payment-case-refactor的任务.md"",""source_sha256"":""ec0abdc5bda310870fd6aa49832e5cbe6aef48e9116bc5d820ba4787146c2b1e"",""dataset_version"":""1.0""}"
"{""message"":""Extra items & Extra tips 是结账后的动作，放在主结账流程之后；Pre-auth 是独立支付 flow，也放在后段。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""按操作时序和独立支付流边界调整模块位置。"",""mustInclude"":[""主结账流程在前"",""Extra items/Extra tips 位于结账后"",""Pre-auth 保持独立流而非嵌入普通结账步骤"",""回查路径和顺序""],""mustNot"":[""把结账后动作放到创建/支付前"",""合并 Pre-auth 与普通支付"",""改写用例内容""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""lifecycle_model"",""module_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""ordered_module_map"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-020"",""workflow"":""module_reorder"",""difficulty"":""medium"",""tags"":[""checkout"",""post-action"",""pre-auth""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1626_继续用-MCP-改.md"",""source_sha256"":""aede5459536e872e711d5b3f0aebb9e55d0f76ac3a71172403d9701e1bba423a"",""dataset_version"":""1.0""}"
"{""message"":""Sales History 的 Charge 继续支付，也要补充与 Sales create 对应的支付方式和金额边界 case。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""把创建阶段的支付覆盖矩阵映射到未支付订单继续支付入口。"",""mustInclude"":[""建立 Sales create 与 Sales History Charge 的覆盖对照"",""复用支付方式、金额边界与失败恢复维度"",""增加入口与前置状态差异"",""去重相同结算逻辑""],""mustNot"":[""简单复制所有步骤而忽略入口差异"",""遗漏 created-but-unpaid 前置条件"",""把 Sales History 写成创建新订单""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""coverage_matrix"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""entry_coverage_matrix"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-021"",""workflow"":""case_gap_fill"",""difficulty"":""hard"",""tags"":[""sales-history"",""charge"",""coverage-parity""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260811-1505_继续之前的额写pachage-retail-支持split-payment的任务.md"",""source_sha256"":""b6ad235dbbb75b01e33c6121adb30faf4535c4d5aa18e7be87ed2e2e9b854e3d"",""dataset_version"":""1.0""}"
"{""message"":""Package 有独立的 Sales History，且其 source 不会是 appointment。请重组 Sales History 用例，区分 Retail 与 Package。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""按真实入口和 source 约束拆分 Retail/Package Sales History。"",""mustInclude"":[""Retail 与 Package 使用各自入口"",""Package 分支排除 appointment source"",""把错误的 appointment 来源用例标记失效"",""保留两类共有的支付逻辑并避免重复""],""mustNot"":[""让 Package 从 Retail 列表进入"",""保留 Package appointment source"",""删除失效用例记录""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""metersphere_read"",""case_diff"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""github_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""retail_package_split"",""invalidated_case_map"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-022"",""workflow"":""case_structure_update"",""difficulty"":""hard"",""tags"":[""retail"",""package"",""sales-history"",""source-constraint""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260811-1505_继续之前的额写pachage-retail-支持split-payment的任务.md"",""source_sha256"":""b6ad235dbbb75b01e33c6121adb30faf4535c4d5aa18e7be87ed2e2e9b854e3d"",""dataset_version"":""1.0""}"
"{""message"":""继续用 MCP 改。""}","{""route"":{""intent"":""unknown"",""relation"":""follow_up"",""writeTarget"":""none"",""depth"":""quick""},""objective"":""安全恢复当前维护对象，不因模糊续接指令猜测写入目标。"",""mustInclude"":[""复述能从最近上下文确认的目标"",""只提出一个能确定目标模块或任务线的问题"",""说明确认前不会写入""],""mustNot"":[""默认选择某条历史任务线"",""调用 MeterSphere 写工具"",""列出一长串问题""],""writePolicy"":""none"",""readbackRequired"":false,""clarification"":{""required"":true,""maxQuestions"":1,""reason"":""当前消息没有指出要修改哪条任务线或哪些用例。""},""expectedTrajectory"":{""requiredCapabilities"":[""conversation_context_read""],""optionalCapabilities"":[""metersphere_read""],""forbiddenCapabilities"":[""metersphere_write"",""metersphere_delete""],""terminalEvidence"":[""single_focused_question""]}}","{""golden_id"":""qasey-gw-023"",""workflow"":""ambiguous_follow_up"",""difficulty"":""medium"",""tags"":[""memory"",""clarification"",""write-safety""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1626_继续用-MCP-改.md"",""source_sha256"":""aede5459536e872e711d5b3f0aebb9e55d0f76ac3a71172403d9701e1bba423a"",""dataset_version"":""1.0""}"
"{""message"":""刚才搞错任务了。真正的任务是 Reader Tips Collection 的 case，请通过 MCP 直接写入 MeterSphere。"",""prior_context"":[{""role"":""assistant"",""content"":""正在修改另一个 Pre-auth 任务。""}]}","{""route"":{""intent"":""case_create_full"",""relation"":""new"",""writeTarget"":""metersphere"",""depth"":""deep""},""objective"":""停止旧任务，把当前消息视为新的 Reader Tips Collection 建例目标。"",""mustInclude"":[""明确丢弃上一任务的未完成方向"",""重新收集 Reader Tips Collection 的需求证据"",""只有证据足够时才形成 CasePlan"",""写后回查""],""mustNot"":[""继续修改 Pre-auth"",""把旧任务已获取的无关证据混入"",""因用户说直接写入而跳过 dry-run 和回查""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":{""required"":false,""maxQuestions"":1,""reason"":""若当前会话没有 Reader Tips Collection 的需求来源，只问一个来源或目标定位问题。""},""expectedTrajectory"":{""requiredCapabilities"":[""goal_reset"",""qa_context_read"",""requirement_evidence_read"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""jira_read"",""figma_read"",""github_read""],""forbiddenCapabilities"":[""continue_superseded_goal"",""metersphere_delete""],""terminalEvidence"":[""new_goal_evidence"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-024"",""workflow"":""goal_correction"",""difficulty"":""hard"",""tags"":[""superseded-task"",""new-goal"",""metersphere""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1032_这个需求帮我写一下metersphere的case-这是设计稿.md"",""source_sha256"":""820e0b2e7d16d62d0af9baa92dfcb9238de62f1edd86ca70ebf556f59b40c1dc"",""dataset_version"":""1.0""}"
"{""message"":""你可以使用 MeterSphere MCP，直接把这些 case 添加进去，不要让我手工导入。"",""prior_context"":[{""role"":""assistant"",""content"":""已生成用例文件，建议用户手动导入。""}]}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""将已收敛的用例计划写入 MeterSphere，并用新鲜读回验证。"",""mustInclude"":[""复用已确认的用例计划"",""写入前 dry-run 冻结集合"",""执行 upsert"",""回查并报告真实新增/更新数量和定位信息""],""mustNot"":[""再次只发送文件"",""重新扩展需求范围"",""没有 completion receipt 就声称导入完成""],""writePolicy"":""metersphere_upsert"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""case_plan_reuse"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback""],""optionalCapabilities"":[""metersphere_read""],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""immutable_case_plan"",""successful_write_receipt"",""fresh_readback_receipt""]}}","{""golden_id"":""qasey-gw-025"",""workflow"":""case_publish"",""difficulty"":""medium"",""tags"":[""metersphere"",""direct-write"",""readback""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260807-1802_根据这个PR-帮我写一下metersphere的case.md"",""source_sha256"":""7278232e5b8162b4f829f05a5a90f61a16558b907135803435cda2172b6410f4"",""dataset_version"":""1.0""}"
"{""message"":""把 Pre-auth 二期的新 case 导入 MeterSphere，并删掉旧 case。""}","{""route"":{""intent"":""case_maintain_fast"",""relation"":""follow_up"",""writeTarget"":""metersphere"",""depth"":""standard""},""objective"":""安全完成新用例 upsert 与回查，同时拒绝 agent 删除旧用例。"",""mustInclude"":[""读取并对账新旧用例"",""新用例可按 CasePlan upsert 并回查"",""明确 delete 工具对 agent 禁用"",""输出可供人工处理的旧用例 ID/名称/路径清单""],""mustNot"":[""执行删除"",""用创建新模块绕过删除限制"",""把未删除说成已经删除""],""writePolicy"":""blocked_delete"",""readbackRequired"":true,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""metersphere_read"",""reconciliation"",""metersphere_dry_run"",""metersphere_write"",""metersphere_readback"",""deletion_candidate_report""],""optionalCapabilities"":[],""forbiddenCapabilities"":[""metersphere_delete""],""terminalEvidence"":[""fresh_readback_receipt"",""manual_deletion_candidates""]}}","{""golden_id"":""qasey-gw-026"",""workflow"":""case_replace"",""difficulty"":""hard"",""tags"":[""delete-safety"",""migration"",""metersphere""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260804-1200_把-Pre-auth-二期的-case-导入-MeterSphere-删掉旧的.md"",""source_sha256"":""eeb5489b2793abfc2f3066864d854c1fc877675c9b2674e7d0de2eb6cbe7ff8e"",""dataset_version"":""1.0""}"
"{""message"":""读取这个 Slack thread：{{SLACK_THREAD_URL}}，梳理这个问题总共需要验证哪些点。""}","{""route"":{""intent"":""qa_review"",""relation"":""new"",""writeTarget"":""none"",""depth"":""deep""},""objective"":""从讨论中提炼已确认事实、争议点和验证清单，不写入用例系统。"",""mustInclude"":[""读取完整 thread 和必要上下文"",""区分现象、假设、根因证据和未确认项"",""按风险列出验证范围"",""引用可追踪的消息或 thread 位置""],""mustNot"":[""把聊天中的猜测当结论"",""自动写入 MeterSphere"",""机械输出十四维度全集""],""writePolicy"":""none"",""readbackRequired"":false,""clarification"":null,""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""slack_read"",""risk_analysis""],""optionalCapabilities"":[""github_read"",""jira_read""],""forbiddenCapabilities"":[""metersphere_write"",""metersphere_delete""],""terminalEvidence"":[""thread_evidence"",""verification_checklist""]}}","{""golden_id"":""qasey-gw-027"",""workflow"":""discussion_to_test_scope"",""difficulty"":""hard"",""tags"":[""slack"",""triage"",""risk-analysis""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260628-2239_你还记得之前让你生成的测试用例的任务吗.md"",""source_sha256"":""9c884df7fe06d09ffc888ebd2939216bea3d7940850a686202608b6cfc4c04fa"",""dataset_version"":""1.0""}"
"{""message"":""在 MoeGo App 里如何连接 Stripe M2 蓝牙 Reader？手机蓝牙设置里点击没反应，Reader 现在四个灯是走马灯模式。""}","{""route"":{""intent"":""qa_quick_query"",""relation"":""new"",""writeTarget"":""none"",""depth"":""quick""},""objective"":""用最小权威证据给出 App 内配对步骤和当前指示灯状态的判断。"",""mustInclude"":[""说明应从 MoeGo App 的 Reader/Payment 设置入口连接而非仅在系统蓝牙中点设备"",""说明走马灯状态是否代表可发现需以当前 Reader 官方说明或产品文档为准"",""给出无法发现时的最短排查顺序"",""保持只读""],""mustNot"":[""编造灯号含义"",""启动完整用例设计"",""修改任何外部系统""],""writePolicy"":""none"",""readbackRequired"":false,""clarification"":{""required"":false,""maxQuestions"":1,""reason"":""只有设备型号或 App 入口无法从当前信息确认时才问一个问题。""},""expectedTrajectory"":{""requiredCapabilities"":[""qa_context_read"",""product_or_vendor_doc_read""],""optionalCapabilities"":[""qa_experience_read""],""forbiddenCapabilities"":[""metersphere_write"",""metersphere_delete""],""terminalEvidence"":[""direct_answer"",""source_boundary""]}}","{""golden_id"":""qasey-gw-028"",""workflow"":""qa_quick_support"",""difficulty"":""medium"",""tags"":[""bt-reader"",""stripe-m2"",""device-setup""],""language"":""zh-CN"",""pii_status"":""sanitized"",""source_kind"":""real_qa_chat"",""source_file"":""evals/soruce_case/chat-export/20260731-1642_BT-reader如何链接.md"",""source_sha256"":""78f6562ecca4384db6f5c72826f7434d6f9fb53d873f44128d258ff12d09f00b"",""dataset_version"":""1.0""}"
